Name,Usecase,Quantity,Unit Price(USD),Link
RP2040, Micrcontroller, 1, 0.99, https://www.lcsc.com/product-detail/C2040.html?s_z=n_q_t_rp2040&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hbVFBfRVNYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVNdUFdXTldADxALGw%3D%3D
YXC Crystal Oscillators X322512MSB4SI, Oscillator, 1, 0.48, https://www.lcsc.com/product-detail/C9002.html?s_z=n_q_C9002&globalKeyword=C9002
Korean Hroparts Elec TYPE-C-31-M-12, USBC thingy, 1, 0.85, https://www.lcsc.com/product-detail/C165948.html?s_z=n_q_C165948&globalKeyword=C165948
W25Q128JVS, Flash Chip, 1, 2.5, https://www.lcsc.com/product-detail/C97521.html?s_z=n_q_W25Q128JVS&spm=wm.fly.bg.0.xh&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hXUFNXT1FYXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldbXlBeWQkaCgg%3D
XUNPU TS-1088-AR02016, Reset Button, 1, 0.05, https://www.lcsc.com/product-detail/C720477.html?s_z=n_q_C720477&globalKeyword=C720477
NCP1117-3.3_SOT223, 3.3v regulator, 1 , 0.032, https://www.lcsc.com/product-detail/C20546.html?s_z=n_q_p_NCP1117-3.3_SOT223&spm=wm.ssy.bg.0.xh&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hXXlZWRFlfUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVlWSQwSGg0%3D
MAX98357A, Audio Amp, 1,1.34, https://www.lcsc.com/product-detail/C910544.html?s_z=n_q_MAX98357A&spm=wm.fly.bg.0.xh&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hXUFFXQ1ldXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
Mini Oval Speaker, Speaker!, 1, 1.95, https://www.adafruit.com/product/4227
3.7v battery, Battery!!!!!, 1, 5.95, https://www.adafruit.com/product/4237
SK6812Mini-E, Keeb Led, 1, 0.44, https://www.lcsc.com/product-detail/C5149201.html
HMX Bruise, Keyboard switch, 1, 0.42, https://milktooth.com/products/bruise
YAGEO CC0402KRX7R7BB104, 0.1uF Ceramic Capacitor, 14,  0.0086, https://www.lcsc.com/product-detail/C60474.html?s_z=n_q_t_0.1uf%2520402&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hXX1ZVRllWVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
Samsung Electro-Mechanics CL05A105KO5NNNC, 1uf capacitor, 2, 0.0091, https://www.lcsc.com/product-detail/C29266.html?s_z=n_q_t_1uf%2520402&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hXX1FQTlFZXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQVFaUFBIHxUDCw%3D%3D
Samsung Electro-Mechanics CL10A106MA8NRNC, 10uf cap, 5 , 0.1258, https://www.lcsc.com/product-detail/C96446.html?s_z=n_q_t_10uf%2520603&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=FVJcVF1UE1MNAwcCRlRfBgJeQlANUFIEQlJZA1UARFIxVlNeQ1hXX1xSQlZbVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D
